id,t,S1,S2,S3,S4,A,R
0,0,-1.0856306033005612,0.9973454465835858,0.28297849805199204,-1.506294713918092,1,-0.5258490546750275
1,0,-0.5786002519685364,1.651436537097151,-2.426679243393074,-0.42891262885617726,1,0.3478269813084225
2,0,1.265936258705534,-0.8667404022651017,-0.6788861516220543,-0.09470896893689112,2,1.4913730927337192
3,0,1.4913896261242878,-0.638901996684651,-0.44398195964606546,-0.43435127561851733,2,1.334705167723151
4,0,2.2059300827254558,2.1867860889737867,1.004053897878877,0.386186399174856,0,-0.3487122015183403
5,0,0.7373685758962422,1.490732028150799,-0.9358338684023914,1.1758290447821034,0,0.1497210394563568
6,0,-1.2538806677490124,-0.6377515024534103,0.9071051958003012,-1.428680700225969,2,0.23002835752350048
7,0,-0.1400687201886661,-0.8617548958596855,-0.2556193705305969,-2.7985891054607244,2,0.9318211444407339
8,0,-1.771533104509847,-0.6998772345979173,0.9274624317585825,-0.1736356827902158,1,-0.39098934601497815
9,0,0.0028459158968110196,0.688222711102285,-0.8795363430090519,0.283627323807291,0,0.17234232184177287
10,0,-0.8053665180656158,-1.7276694941206072,-0.390899793755101,0.5738058624050577,2,1.0613289488774669
11,0,0.3385890509998015,-0.01183049447881976,2.392365265937726,0.4129121603087788,0,-0.6431490627963762
12,0,0.9787360059373466,2.2381433384979528,-1.2940853231612488,-1.0387882102049535,2,0.5622527200812598
13,0,1.7437122251229307,-0.7980627352410625,0.02968323030333022,1.0693159694243486,0,0.8028048384521861
14,0,0.8907063912931708,1.7548861819811095,1.4956441370334692,1.0693926697057368,1,-0.5724870049905111
15,0,-0.7727087142471915,0.7948626677932181,0.31427199450686705,-1.326265459940456,1,-0.31601239303975914
16,0,1.4172990464768525,0.8072365345785665,0.045490080631097156,-0.2330920609844135,2,0.9072710773994893
17,0,-1.198301144700787,0.19952407355863258,0.46843911944564426,-0.8311549842432792,0,-0.6200839154305483
18,0,1.1622040490995293,-1.0972030464830342,-2.1231003500424417,1.0397270908927005,2,2.0569973239329746
