seed,action,scenario,estimate,est_correct,delta
1234,0,correct,-0.007243577771689111,-0.007243577771689111,0.0
1234,0,m_miss,-0.007497325926040521,-0.007243577771689111,-0.00025374815435140995
1234,0,e_miss,-0.006783561292674661,-0.007243577771689111,0.0004600164790144502
1234,0,both_miss,-0.01141712337495728,-0.007243577771689111,-0.004173545603268169
1234,1,correct,-0.011118386524126056,-0.011118386524126056,0.0
1234,1,m_miss,-0.011115492969316857,-0.011118386524126056,2.8935548091989227e-06
1234,1,e_miss,-0.009905056316446673,-0.011118386524126056,0.0012133302076793827
1234,1,both_miss,-0.007911333451623898,-0.011118386524126056,0.0032070530725021584
1234,2,correct,-0.008374217117168473,-0.008374217117168473,0.0
1234,2,m_miss,-0.008921149059599778,-0.008374217117168473,-0.0005469319424313054
1234,2,e_miss,-0.007806364737433444,-0.008374217117168473,0.0005678523797350288
1234,2,both_miss,-0.006732363268566408,-0.008374217117168473,0.001641853848602065
1235,0,correct,-0.008552272083485605,-0.008552272083485605,0.0
1235,0,m_miss,-0.009322864658109282,-0.008552272083485605,-0.0007705925746236773
1235,0,e_miss,-0.0082322643809814,-0.008552272083485605,0.00032000770250420474
1235,0,both_miss,-0.01237587916747773,-0.008552272083485605,-0.0038236070839921255
1235,1,correct,-0.011428305460590258,-0.011428305460590258,0.0
1235,1,m_miss,-0.01217362639465329,-0.011428305460590258,-0.0007453209340630325
1235,1,e_miss,-0.009455107293400043,-0.011428305460590258,0.0019731981671902155
1235,1,both_miss,-0.0076285921231894135,-0.011428305460590258,0.003799713337400845
1235,2,correct,-0.00855298926971645,-0.00855298926971645,0.0
1235,2,m_miss,-0.008831807026853763,-0.00855298926971645,-0.00027881775713731356
1235,2,e_miss,-0.008383375995924877,-0.00855298926971645,0.00016961327379157176
1235,2,both_miss,-0.00894533485209181,-0.00855298926971645,-0.0003923455823753603
1236,0,correct,-0.0070249927721244805,-0.0070249927721244805,0.0
1236,0,m_miss,-0.00784106553324639,-0.0070249927721244805,-0.0008160727611219087
1236,0,e_miss,-0.0069361579564204785,-0.0070249927721244805,8.883481570400205e-05
1236,0,both_miss,-0.011003985713418438,-0.0070249927721244805,-0.0039789929412939575
1236,1,correct,-0.010973602789127889,-0.010973602789127889,0.0
1236,1,m_miss,-0.011271635461175041,-0.010973602789127889,-0.00029803267204715246
1236,1,e_miss,-0.009698879288810665,-0.010973602789127889,0.0012747235003172236
1236,1,both_miss,-0.007733077947963756,-0.010973602789127889,0.003240524841164133
1236,2,correct,-0.007929518791020251,-0.007929518791020251,0.0
1236,2,m_miss,-0.00794995477829294,-0.007929518791020251,-2.0435987272688153e-05
1236,2,e_miss,-0.007724874873156706,-0.007929518791020251,0.00020464391786354473
1236,2,both_miss,-0.007430640412333737,-0.007929518791020251,0.0004988783786865139
1237,0,correct,-0.007785956588837966,-0.007785956588837966,0.0
1237,0,m_miss,-0.00821859986359768,-0.007785956588837966,-0.00043264327475971316
1237,0,e_miss,-0.007409003249519668,-0.007785956588837966,0.00037695333931829847
1237,0,both_miss,-0.011043640044335548,-0.007785956588837966,-0.0032576834554975814
1237,1,correct,-0.010715802394223095,-0.010715802394223095,0.0
1237,1,m_miss,-0.011583652926147206,-0.010715802394223095,-0.0008678505319241105
1237,1,e_miss,-0.009179352108530697,-0.010715802394223095,0.0015364502856923985
1237,1,both_miss,-0.007376554785035129,-0.010715802394223095,0.0033392476091879657
1237,2,correct,-0.008372441917899431,-0.008372441917899431,0.0
