seed,action,scenario,estimate,est_correct,delta
1234,0,correct,-0.004688067082786201,-0.004688067082786201,0.0
1234,0,m_miss,-0.005543180673365572,-0.004688067082786201,-0.0008551135905793704
1234,0,e_miss,-0.0045255369879706,-0.004688067082786201,0.0001625300948156017
1234,0,both_miss,-0.0063695331190758726,-0.004688067082786201,-0.0016814660362896713
1234,1,correct,-0.004071726163613911,-0.004071726163613911,0.0
1234,1,m_miss,-0.005287129828627858,-0.004071726163613911,-0.001215403665013947
1234,1,e_miss,-0.004238779801937191,-0.004071726163613911,-0.00016705363832328
1234,1,both_miss,-0.003253247183011387,-0.004071726163613911,0.0008184789806025237
1234,2,correct,-0.0035963145228074785,-0.0035963145228074785,0.0
1234,2,m_miss,-0.0037692768397213712,-0.0035963145228074785,-0.00017296231691389273
1234,2,e_miss,-0.003428510660581873,-0.0035963145228074785,0.00016780386222560537
1234,2,both_miss,-0.003963448803573568,-0.0035963145228074785,-0.00036713428076608993
1235,0,correct,-0.005668930895287535,-0.005668930895287535,0.0
1235,0,m_miss,-0.005316419723511749,-0.005668930895287535,0.0003525111717757861
1235,0,e_miss,-0.005467686858642643,-0.005668930895287535,0.0002012440366448917
1235,0,both_miss,-0.0067640498089737025,-0.005668930895287535,-0.0010951189136861675
1235,1,correct,-0.005673271248095677,-0.005673271248095677,0.0
1235,1,m_miss,-0.006697570120474795,-0.005673271248095677,-0.0010242988723791176
1235,1,e_miss,-0.00606551790977556,-0.005673271248095677,-0.0003922466616798825
1235,1,both_miss,-0.005116694209612706,-0.005673271248095677,0.0005565770384829711
1235,2,correct,-0.00549100672257959,-0.00549100672257959,0.0
1235,2,m_miss,-0.005551787020954475,-0.00549100672257959,-6.0780298374885425e-05
1235,2,e_miss,-0.005304627324028012,-0.00549100672257959,0.00018637939855157756
1235,2,both_miss,-0.0031872866758362096,-0.00549100672257959,0.00230372004674338
1236,0,correct,-0.004438235121937836,-0.004438235121937836,0.0
1236,0,m_miss,-0.00448285065197193,-0.004438235121937836,-4.461553003409346e-05
1236,0,e_miss,-0.004498565312499326,-0.004438235121937836,-6.033019056149013e-05
1236,0,both_miss,-0.006752176586586295,-0.004438235121937836,-0.0023139414646484585
1236,1,correct,-0.0063567275043641906,-0.0063567275043641906,0.0
1236,1,m_miss,-0.005975637836222019,-0.0063567275043641906,0.0003810896681421712
1236,1,e_miss,-0.00655432004577798,-0.0063567275043641906,-0.00019759254141378958
1236,1,both_miss,-0.0042167344598935015,-0.0063567275043641906,0.002139993044470689
1236,2,correct,-0.004823257013642734,-0.004823257013642734,0.0
1236,2,m_miss,-0.004497791919623824,-0.004823257013642734,0.00032546509401890945
1236,2,e_miss,-0.004644021820093927,-0.004823257013642734,0.000179235193548807
1236,2,both_miss,-0.004228311805952794,-0.004823257013642734,0.0005949452076899394
1237,0,correct,-0.0054156631474267585,-0.0054156631474267585,0.0
1237,0,m_miss,-0.005140907319488427,-0.0054156631474267585,0.0002747558279383314
1237,0,e_miss,-0.005216705975221613,-0.0054156631474267585,0.00019895717220514558
1237,0,both_miss,-0.007313465960229706,-0.0054156631474267585,-0.0018978028128029479
1237,1,correct,-0.005139242039399831,-0.005139242039399831,0.0
1237,1,m_miss,-0.008050907855960528,-0.005139242039399831,-0.0029116658165606966
1237,1,e_miss,-0.004770133929146752,-0.005139242039399831,0.00036910811025307917
1237,1,both_miss,-0.0034135975668629897,-0.005139242039399831,0.0017256444725368414
1237,2,correct,-0.0050979693017565815,-0.0050979693017565815,0.0
1237,2,m_miss,-0.0064888679310742175,-0.0050979693017565815,-0.001390898629317636
1237,2,e_miss,-0.004877593834612564,-0.0050979693017565815,0.00022037546714401713
1237,2,both_miss,-0.004900758705616056,-0.0050979693017565815,0.00019721059614052558
1238,0,correct,-0.004231044865590539,-0.004231044865590539,0.0
1238,0,m_miss,-0.0045228019340294275,-0.004231044865590539,-0.00029175706843888836
1238,0,e_miss,-0.004429474516017184,-0.004231044865590539,-0.0001984296504266448
1238,0,both_miss,-0.007333157311985147,-0.004231044865590539,-0.0031021124463946077
1238,1,correct,-0.004908437151645938,-0.004908437151645938,0.0
1238,1,m_miss,-0.00417345570168786,-0.004908437151645938,0.0007349814499580777
1238,1,e_miss,-0.004131274278906385,-0.004908437151645938,0.000777162872739553
1238,1,both_miss,-0.0016196077594032026,-0.004908437151645938,0.0032888293922427353
1238,2,correct,-0.003441869368282672,-0.003441869368282672,0.0
1238,2,m_miss,-0.0036303349850798517,-0.003441869368282672,-0.0001884656167971798
1238,2,e_miss,-0.003471689122400616,-0.003441869368282672,-2.9819754117944245e-05
1238,2,both_miss,-0.004170089119275079,-0.003441869368282672,-0.0007282197509924067
1239,0,correct,-0.003530522362873981,-0.003530522362873981,0.0
1239,0,m_miss,-0.0036926685247277236,-0.003530522362873981,-0.00016214616185374238
1239,0,e_miss,-0.0036261099801483438,-0.003530522362873981,-9.558761727436254e-05
1239,0,both_miss,-0.006436155798662853,-0.003530522362873981,-0.0029056334357888715
1239,1,correct,-0.00491632045396785,-0.00491632045396785,0.0
1239,1,m_miss,-0.003471126803145599,-0.00491632045396785,0.0014451936508222516
1239,1,e_miss,-0.005047905490241734,-0.00491632045396785,-0.00013158503627388324
1239,1,both_miss,-0.003374182253283518,-0.00491632045396785,0.0015421382006843322
1239,2,correct,-0.00479395648160687,-0.00479395648160687,0.0
1239,2,m_miss,-0.004511376954462838,-0.00479395648160687,0.00028257952714403223
1239,2,e_miss,-0.004688243033428352,-0.00479395648160687,0.00010571344817851807
1239,2,both_miss,-0.004745180215614234,-0.00479395648160687,4.877626599263628e-05
1240,0,correct,-0.005046173078116237,-0.005046173078116237,0.0
1240,0,m_miss,-0.004475952573337374,-0.005046173078116237,0.0005702205047788626
1240,0,e_miss,-0.0042502785051840635,-0.005046173078116237,0.0007958945729321732
